date,price_close,price_open,price_high,price_low,price_daily_return,price_cum_return,price_cum_return_pct
2022-11-23,2779.48,2764.29,2797.47,2759.16,0.00853789074547806,-0.20615317826623147,-20.615317826623148
2022-11-24,2810.46,2785.33,2811.77,2785.33,0.011145969749737361,-0.19730498560526177,-19.73049856052618
2022-11-25,2845.0,2812.43,2847.3,2802.2,0.012289803092732088,-0.18744002193483267,-18.74400219348327
2022-11-28,2797.17,2813.1,2813.1,2747.86,-0.016811950790861174,-0.20110074030068747,-20.11007403006875
2022-11-29,2875.96,2810.99,2875.96,2810.99,0.028167755266930383,-0.1785975414705454,-17.85975414705454
2022-11-30,2923.86,2871.54,2923.86,2860.64,0.016655308140586023,-0.16491683041630245,-16.491683041630246
2022-12-01,2902.82,2948.33,2954.48,2897.17,-0.007195966975163004,-0.1709260613261412,-17.09260613261412
2022-12-02,2872.76,2902.9,2905.42,2856.58,-0.01035544746143402,-0.17951149293972246,-17.951149293972247
2022-12-05,2963.62,2901.42,2966.14,2898.31,0.0316281206922957,-0.15356098341177848,-15.356098341177848
2022-12-06,2976.49,2952.45,2980.1,2941.62,0.00434266201469824,-0.14988518484668223,-14.988518484668223
2022-12-07,2909.97,2975.98,2993.65,2909.97,-0.022348470849893665,-0.16888395101219889,-16.88839510121989
2022-12-08,2958.4,2921.51,2959.6,2921.51,0.01664278325893398,-0.15505186674587335,-15.505186674587335
2022-12-09,3011.13,2959.62,3011.44,2959.62,0.017823823688480234,-0.13999166019284126,-13.999166019284125
2022-12-12,2988.27,2999.85,3010.71,2975.5,-0.0075918342947665085,-0.1465207010007744,-14.652070100077442
2022-12-13,2987.83,2992.99,2992.99,2969.95,-0.00014724238438967863,-0.1466463693277863,-14.66463693277863
2022-12-14,2994.21,3002.15,3013.64,2974.68,0.0021353289845809087,-0.14482417858611452,-14.482417858611452
2022-12-15,2968.88,2996.82,2999.43,2948.61,-0.008459660478055908,-0.15205867568431852,-15.205867568431852
2022-12-16,2996.81,2964.85,3002.3,2956.31,0.009407588046670634,-0.1440815930174083,-14.408159301740831
2022-12-19,2952.65,2993.53,3006.34,2940.19,-0.014735668927959966,-0.15669412329205068,-15.669412329205068
2022-12-20,2930.06,2950.01,2950.01,2910.14,-0.007650754407058091,-0.16314604944477196,-16.314604944477196
2022-12-21,2938.43,2936.27,2942.72,2919.88,0.002856596793239685,-0.16075549513320597,-16.075549513320595
2022-12-22,2967.35,2959.58,2977.54,2954.79,0.009841990450682792,-0.15249565873051896,-15.249565873051896
2022-12-23,2968.96,2957.98,2975.68,2950.13,0.0005425716548435044,-0.15203582689758932,-15.203582689758932
2022-12-28,3014.89,2984.21,3030.69,2981.11,0.015470063591291217,-0.13891776721655835,-13.891776721655836
2022-12-29,2987.57,3005.36,3005.36,2970.55,-0.009061690476269368,-0.14672062788465678,-14.672062788465679
2022-12-30,3003.94,3000.0,3012.51,2996.62,0.005479369521048882,-0.14204519490014822,-14.204519490014821
2023-01-03,3050.5,2994.64,3052.65,2961.7,0.015499643801141216,-0.12874720102362303,-12.874720102362303
2023-01-04,3107.1,3057.68,3108.4,3054.72,0.01855433535485984,-0.112581684412555,-11.258168441255501
2023-01-05,3113.2,3133.14,3141.1,3108.28,0.0019632454700524438,-0.11083946442443637,-11.083946442443636
2023-01-06,3108.25,3119.81,3122.3,3095.07,-0.0015900038545547668,-0.11225323310331947,-11.225323310331948
2023-01-09,3134.82,3126.89,3147.0,3125.04,0.008548218450896927,-0.10466457981080912,-10.466457981080913
2023-01-10,3134.45,3137.41,3148.14,3126.39,-0.00011802910533953437,-0.10477025544943286,-10.477025544943286
2023-01-11,3146.85,3138.53,3167.76,3137.55,0.003956036944280594,-0.10122869350637198,-10.122869350637199
2023-01-12,3169.57,3154.29,3173.3,3141.65,0.007219918331029529,-0.09473963807521524,-9.473963807521525
2023-01-13,3202.93,3173.8,3203.41,3168.95,0.010525086999182642,-0.08521169400904527,-8.521169400904526
2023-01-16,3229.98,3207.72,3245.72,3204.0,0.008445392187778067,-0.07748594799615849,-7.748594799615849
2023-01-17,3208.74,3225.39,3225.39,3188.16,-0.006575892110787129,-0.08355230087282084,-8.355230087282084
2023-01-18,3227.45,3210.03,3227.91,3199.78,0.0058309492199430935,-0.07820854087647655,-7.820854087647655
2023-01-19,3232.19,3213.71,3234.7,3202.49,0.0014686517219477668,-0.07685475026275801,-7.685475026275801
2023-01-20,3282.79,3237.53,3282.79,3236.02,0.015655020280367138,-0.06240289265639687,-6.240289265639687
2023-01-26,3332.46,3302.86,3332.46,3300.1,0.015130422597851245,-0.04821665219576521,-4.821665219576521
2023-01-27,3351.17,3335.78,3351.17,3314.21,0.005614470991399667,-0.04287289219942103,-4.287289219942103
2023-01-30,3281.01,3345.0,3345.0,3270.91,-0.020935971615883342,-0.06291127816112652,-6.291127816112652
2023-01-31,3246.25,3287.78,3302.18,3231.11,-0.010594298706800731,-0.07283907599506168,-7.2839075995061675
2023-02-01,3285.05,3251.69,3285.05,3244.04,0.01195225259915289,-0.06175741443129068,-6.175741443129068
2023-02-02,3274.57,3298.14,3301.84,3269.02,-0.003190210194669807,-0.06475060549284528,-6.475060549284528
2023-02-03,3236.73,3272.97,3272.97,3218.64,-0.01155571571229208,-0.0755580816158633,-7.555808161586331
2023-02-06,3193.3,3218.37,3218.37,3173.13,-0.01341786309021753,-0.0879621167115997,-8.79621167115997
2023-02-07,3199.76,3196.98,3220.02,3194.89,0.002022985626154883,-0.0861170771831985,-8.611707718319849
2023-02-08,3214.88,3200.97,3229.46,3200.97,0.004725354401580173,-0.08179865649133722,-8.179865649133722
2023-02-09,3229.47,3204.98,3230.31,3202.71,0.004538272035036872,-0.07763160901155852,-7.763160901155852
2023-02-10,3210.79,3222.42,3236.41,3205.85,-0.005784230849024685,-0.0829668007128791,-8.29668007128791
2023-02-13,3211.08,3204.42,3214.02,3178.11,9.032045073009698e-05,-0.082883973860985,-8.2883973860985
2023-02-14,3219.59,3217.93,3227.5,3210.9,0.00265019868704619,-0.08045343417264239,-8.045343417264238
2023-02-15,3182.68,3220.95,3223.98,3176.41,-0.011464192645647575,-0.09099529314993082,-9.099529314993083
2023-02-16,3186.09,3186.88,3221.68,3180.02,0.0010714240828484378,-0.0900213636155891,-9.002136361558911
2023-02-17,3171.27,3179.41,3196.6,3166.64,-0.0046514693558562525,-0.09425410135721501,-9.425410135721501
2023-02-20,3236.31,3170.18,3242.75,3170.18,0.02050913356478623,-0.07567803774619286,-7.567803774619286
2023-02-21,3243.76,3238.05,3270.78,3237.26,0.002302004443332173,-0.07355024448201508,-7.355024448201508
2023-02-22,3217.43,3244.01,3244.01,3216.07,-0.008117123338348242,-0.08107035141433716,-8.107035141433716
2023-02-23,3195.04,3213.51,3222.87,3192.68,-0.006958970358329486,-0.08746515560023493,-8.746515560023493
2023-02-24,3161.04,3189.09,3192.55,3155.95,-0.010641494316190103,-0.0971758899602404,-9.717588996024041
2023-02-27,3129.28,3153.67,3154.38,3116.51,-0.010047326196441553,-0.1062468582918219,-10.62468582918219
2023-02-28,3099.92,3136.76,3159.71,3099.92,-0.009382349933531042,-0.1146323630215208,-11.46323630215208
2023-03-01,3194.58,3110.39,3204.43,3110.39,0.030536271903790935,-0.08759653612392915,-8.759653612392915
2023-03-02,3222.85,3187.99,3232.21,3181.84,0.008849363609613858,-0.07952234611341857,-7.952234611341858
2023-03-03,3267.23,3235.29,3278.96,3233.32,0.013770420590471177,-0.06684698167527015,-6.6846981675270145
2023-03-06,3289.11,3263.95,3297.47,3263.95,0.006696804326600914,-0.060597838504772406,-6.05978385047724
2023-03-07,3289.55,3286.28,3355.25,3272.12,0.00013377479014087257,-0.06047217017776052,-6.0472170177760525
2023-03-08,3263.2,3260.13,3266.02,3239.62,-0.008010214163031493,-0.06799798930676482,-6.799798930676482
2023-03-09,3219.82,3255.18,3264.14,3217.52,-0.01329369943613623,-0.08038774391079528,-8.038774391079528
2023-03-10,3157.73,3196.44,3201.35,3151.99,-0.019283686665714228,-0.09812125851117004,-9.812125851117004
2023-03-13,3231.67,3161.57,3233.64,3161.57,0.023415554844777864,-0.0770032673764991,-7.70032673764991
2023-03-14,3175.82,3223.21,3235.02,3163.72,-0.017282086351638637,-0.09295457661197881,-9.295457661197881
2023-03-15,3233.25,3198.31,3244.77,3198.31,0.018083518587325376,-0.07655200383859306,-7.655200383859306
2023-03-16,3196.63,3208.24,3218.02,3189.51,-0.011326065104770744,-0.0870110359639873,-8.70110359639873
2023-03-17,3264.93,3217.38,3282.62,3214.94,0.021366251333435393,-0.06750388429374099,-6.750388429374099
2023-03-20,3213.03,3259.57,3276.19,3191.65,-0.015896206044233585,-0.08232703468445512,-8.232703468445512
2023-03-21,3206.07,3222.45,3230.66,3190.4,-0.002166179587492212,-0.08431487912991509,-8.431487912991509
2023-03-22,3240.69,3219.19,3263.58,3219.19,0.01079826703721376,-0.07442706667275656,-7.442706667275656
2023-03-23,3280.96,3243.84,3280.96,3232.79,0.012426365989958832,-0.06292555865283245,-6.292555865283244
2023-03-24,3243.15,3274.55,3274.55,3243.15,-0.011524066126987198,-0.07372446648082676,-7.372446648082676
2023-03-27,3207.35,3234.78,3234.78,3201.75,-0.011038650694540908,-0.08394929854224442,-8.394929854224442
2023-03-28,3238.72,3221.18,3247.13,3215.32,0.009780660046455836,-0.07498971804596866,-7.498971804596866
2023-03-29,3243.36,3254.93,3264.12,3217.07,0.0014326647564470996,-0.07366448841566187,-7.366448841566187
2023-03-30,3246.01,3237.74,3249.08,3203.49,0.0008170539193923521,-0.07290762235524961,-7.290762235524961
2023-03-31,3251.97,3257.15,3282.94,3251.97,0.0018361003200850767,-0.07120538774390761,-7.120538774390761
2023-04-03,3260.29,3262.36,3280.37,3245.63,0.0025584491861856407,-0.06882911392404745,-6.882911392404745
